output_cell,original_cell,similarity_score
Macrophages,FCGR3A+ Mono,7.0
Megakaryocyte,Naive CD4 T,0.0
Plasmacytoid Dendritic,Naive CD4 T,0.0
Macrophages,Naive CD4 T,0.0
Megakaryocyte,B,0.0
Plasmacytoid Dendritic,B,0.0
Macrophages,B,0.0
Megakaryocyte,DC,0.0
Plasmacytoid Dendritic,DC,10.0
Macrophages,DC,2.0
Megakaryocyte,CD8 T,0.0
Plasmacytoid Dendritic,CD8 T,0.0
Macrophages,CD8 T,0.0
Platelet,Platelet,10.0
CD4+ T,Platelet,0.0
NK,Platelet,0.0
Dendritic,Platelet,0.0
Monocyte,Platelet,0.0
B,Platelet,0.0
Other,Platelet,0.0
Platelet,NK,0.0
CD4+ T,NK,0.0
NK,NK,0.0
Dendritic,NK,0.0
Monocyte,NK,0.0
B,NK,0.0
Other,NK,0.0
Platelet,Memory CD4 T,0.0
CD4+ T,Memory CD4 T,7.0
NK,Memory CD4 T,0.0
Dendritic,Memory CD4 T,0.0
Monocyte,Memory CD4 T,0.0
B,Memory CD4 T,0.0
Other,Memory CD4 T,0.0
Platelet,CD14+ Mono,0.0
CD4+ T,CD14+ Mono,0.0
NK,CD14+ Mono,0.0
Dendritic,CD14+ Mono,7.0
Monocyte,CD14+ Mono,10.0
B,CD14+ Mono,0.0
Other,CD14+ Mono,0.0
Platelet,FCGR3A+ Mono,3.0
CD4+ T,FCGR3A+ Mono,0.0
NK,FCGR3A+ Mono,7.0
Dendritic,FCGR3A+ Mono,7.0
Monocyte,FCGR3A+ Mono,8.0
B,FCGR3A+ Mono,7.0
Other,FCGR3A+ Mono,5.0
Platelet,Naive CD4 T,0.0
CD4+ T,Naive CD4 T,8.0
NK,Naive CD4 T,0.0
Dendritic,Naive CD4 T,0.0
Monocyte,Naive CD4 T,0.0
B,Naive CD4 T,0.0
Other,Naive CD4 T,0.0
Platelet,B,0.0
CD4+ T,B,0.0
NK,B,0.0
Dendritic,B,0.0
Monocyte,B,0.0
B,B,0.0
Other,B,0.0
Platelet,DC,0.0
CD4+ T,DC,0.0
NK,DC,0.0
Dendritic,DC,9.0
Monocyte,DC,3.0
B,DC,0.0
Other,DC,0.0
Platelet,CD8 T,0.0
CD4+ T,CD8 T,0.0
NK,CD8 T,0.0
Dendritic,CD8 T,0.0
Monocyte,CD8 T,0.0
B,CD8 T,0.0
Other,CD8 T,0.0
T,Platelet,0.0
Unclassified,Platelet,0.0
T,NK,0.0
Unclassified,NK,3.0
T,Memory CD4 T,0.0
Unclassified,Memory CD4 T,7.0
T,CD14+ Mono,0.0
Unclassified,CD14+ Mono,7.0
T,FCGR3A+ Mono,5.0
Unclassified,FCGR3A+ Mono,7.0
T,Naive CD4 T,0.0
Unclassified,Naive CD4 T,7.0
T,B,0.0
Unclassified,B,0.0
T,DC,0.0
Unclassified,DC,0.0
T,CD8 T,0.0
Unclassified,CD8 T,3.0
CD8+ T,Platelet,0.0
CD8+ T,NK,0.0
CD8+ T,Memory CD4 T,0.0
CD8+ T,CD14+ Mono,0.0
CD8+ T,FCGR3A+ Mono,0.0
CD8+ T,Naive CD4 T,0.0
CD8+ T,B,0.0
CD8+ T,DC,0.0
CD8+ T,CD8 T,10.0
CD8 T,Platelet,0.0
CD14 Monocyte,Platelet,0.0
CD8 T,NK,0.0
CD14 Monocyte,NK,0.0
CD8 T,Memory CD4 T,0.0
CD14 Monocyte,Memory CD4 T,0.0
CD8 T,CD14+ Mono,0.0
CD14 Monocyte,CD14+ Mono,10.0
CD8 T,FCGR3A+ Mono,0.0
CD14 Monocyte,FCGR3A+ Mono,7.0
CD8 T,Naive CD4 T,0.0
CD14 Monocyte,Naive CD4 T,0.0
CD8 T,B,0.0
CD14 Monocyte,B,0.0
CD8 T,DC,0.0
CD14 Monocyte,DC,3.0
CD8 T,CD8 T,10.0
CD14 Monocyte,CD8 T,0.0
Plasma,Platelet,0.0
Erythroid,Platelet,0.0
Plasma,NK,0.0
Erythroid,NK,0.0
Plasma,Memory CD4 T,0.0
Erythroid,Memory CD4 T,0.0
Plasma,CD14+ Mono,0.0
Erythroid,CD14+ Mono,0.0
Plasma,FCGR3A+ Mono,3.0
Erythroid,FCGR3A+ Mono,3.0
Plasma,Naive CD4 T,0.0
Erythroid,Naive CD4 T,0.0
Plasma,B,8.0
Erythroid,B,0.0
Plasma,DC,0.0
Erythroid,DC,0.0
Plasma,CD8 T,0.0
Erythroid,CD8 T,0.0
Monocyte (CD16+),Platelet,0.0
Monocyte (CD14+),Platelet,0.0
T (unspecified),Platelet,0.0
Other PBMC,Platelet,0.0
Monocyte (CD16+),NK,0.0
Monocyte (CD14+),NK,0.0
T (unspecified),NK,0.0
Other PBMC,NK,0.0
Monocyte (CD16+),Memory CD4 T,0.0
Monocyte (CD14+),Memory CD4 T,0.0
T (unspecified),Memory CD4 T,0.0
Other PBMC,Memory CD4 T,3.0
Monocyte (CD16+),CD14+ Mono,8.0
Monocyte (CD14+),CD14+ Mono,10.0
T (unspecified),CD14+ Mono,0.0
Other PBMC,CD14+ Mono,3.0
Monocyte (CD16+),FCGR3A+ Mono,8.0
Monocyte (CD14+),FCGR3A+ Mono,7.0
T (unspecified),FCGR3A+ Mono,5.0
Other PBMC,FCGR3A+ Mono,4.0
Monocyte (CD16+),Naive CD4 T,0.0
Monocyte (CD14+),Naive CD4 T,0.0
T (unspecified),Naive CD4 T,5.0
Other PBMC,Naive CD4 T,3.0
Monocyte (CD16+),B,0.0
Monocyte (CD14+),B,0.0
T (unspecified),B,0.0
Other PBMC,B,0.0
Monocyte (CD16+),DC,3.0
Monocyte (CD14+),DC,3.0
T (unspecified),DC,0.0
Other PBMC,DC,0.0
Monocyte (CD16+),CD8 T,0.0
Monocyte (CD14+),CD8 T,0.0
T (unspecified),CD8 T,3.0
Other PBMC,CD8 T,0.0
CD4 T,CD8 T,0.0
Erythrocyte,CD8 T,0.0
CD4 T,B,0.0
Erythrocyte,B,0.0
CD4 T,NK,0.0
Erythrocyte,NK,0.0
CD4 T,Memory CD4 T,8.0
Erythrocyte,Memory CD4 T,0.0
CD4 T,DC,0.0
Erythrocyte,DC,0.0
CD4 T,FCGR3A+ Mono,0.0
Erythrocyte,FCGR3A+ Mono,0.0
CD4 T,Naive CD4 T,8.0
Erythrocyte,Naive CD4 T,0.0
CD4 T,CD14+ Mono,0.0
Erythrocyte,CD14+ Mono,0.0
CD4 T,Platelet,0.0
Erythrocyte,Platelet,0.0
